ID,Area,Feature,Ruolo,User Story,Comportamento atteso (da codice),Riferimenti file,Stato test,Note/Bug
ADMU-02,Gestione utenti,Blocco accesso non-admin,USER/USERPLUS,Come utente non-admin non devo poter aprire /admin/users,Redirect server-side a /dashboard se isAdmin(me) e falso.,app/admin/users/page.tsx:9-11,Pass,"VERIFICATO via API: senza sessione, /api/admin/users -> 401/403."
ADMU-03,Gestione utenti,Approvazione utente pending,ADMIN,Come admin voglio approvare un utente in attesa cosi che possa accedere alla dashboard,"POST /api/admin/users/{id} {action:'approve'} imposta status=approved, approved_at=now. L'utente puo ora fare login. Errori: 400 id invalido, 404 utente non trovato, 403 se non admin.",components/UsersAdmin.tsx; app/api/admin/users/[id]/route.ts,Pass,"VERIFICATO via API: PATCH action=approve su utente pending -> status approved, login successivo riuscito."
ADMU-04,Gestione utenti,Rifiuto utente,ADMIN,Come admin voglio rifiutare una richiesta di accesso cosi che quell'utente non possa entrare,"action:'reject' imposta status=rejected, approved_at=null; login successivo restituisce 403. Tentare di rifiutare l'admin protetto restituisce 409 'Impossibile rifiutare l'amministratore protetto'.",lib/users.ts:233; app/api/admin/users/[id]/route.ts,Pass,VERIFICATO via API: PATCH action=reject sull'admin protetto -> 409 con messaggio corretto.
ADMU-05,Gestione utenti,Cambio ruolo,ADMIN,Come admin voglio cambiare il ruolo di un utente (USER/USERPLUS/ADMIN) cosi che abbia i permessi corretti,"action:'setRole' valida il ruolo tra i 3 ammessi (400 'Ruolo non valido' altrimenti); tentare di retrocedere l'admin protetto da ADMIN restituisce 409 'Impossibile declassare l'amministratore protetto'. Nessuna conferma richiesta, nessun blocco all'auto-retrocessione di un admin non protetto.",components/UsersAdmin.tsx:98-110; app/api/admin/users/[id]/route.ts:49-64,Fail,"VERIFICATO via API: validazioni ruolo/protezione admin corrette (400/409 come atteso). MA nessuna route blocca un ADMIN (diverso dall'admin seed protetto) dal cambiare il proprio stesso ruolo, con rischio concreto di autoesclusione accidentale (self-lockout)."
ADMU-06,Gestione utenti,Eliminazione utente,ADMIN,Come admin voglio eliminare un account non piu necessario cosi che non resti nel sistema,Click 'Elimina' mostra window.confirm con l'email; DELETE /api/admin/users/{id}; blocco se ruolo=ADMIN (409 'Un account ADMIN non puo essere eliminato'); 404 se non trovato.,components/UsersAdmin.tsx:54-58; lib/users.ts:249-263,Pass,VERIFICATO via API: DELETE su utente non-admin -> 200; DELETE sull'admin protetto -> 409.
ADMU-07,Gestione utenti,Nessun audit trail,ADMIN,"Come admin vorrei sapere chi ha approvato/rifiutato/eliminato un utente e quando, per accountability",GAP noto: nessun log applicativo di chi ha eseguito approve/reject/setRole/delete oltre a 'last_edited_by/at' sugli interventi (non sugli utenti).,design-review.md Epica E; app/api/admin/users/[id]/route.ts,Pass,"Confermato GAP nel codice (nessun audit log applicativo per le azioni admin sugli utenti); non incluso nel fix (richiederebbe una nuova funzionalita di logging, fuori scope)."
PERM-01,Permessi,Sola visualizzazione per USER,USER,Come utente USER (sola visualizzazione) non devo vedere pulsanti di modifica/creazione/eliminazione/upload/gestione,canEdit()=false per USER: pulsanti Modifica/Nuovo IF/Elimina/Carica/Gestione nascosti; editing inline e drawer non disponibili; solo lettura dei pannelli.,lib/auth/permissions.ts; components/Dashboard.tsx,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
PERM-02,Permessi,Modifica per USERPLUS/ADMIN,USERPLUS/ADMIN,Come utente USERPLUS o ADMIN voglio poter modificare/creare/eliminare interventi e caricare Excel,"canEdit()=true per USERPLUS e ADMIN: editing inline, drawer, upload, tutti abilitati; solo ADMIN vede anche Gestione utenti e Gestione dati.",lib/auth/permissions.ts,Pass,"VERIFICATO via Playwright: pulsante 'Modifica' attiva la modalita modifica per ADMIN, sblocca form ed editing."
PERM-03,Permessi,Access gate per pending/rejected,USER pending/rejected,Come utente non ancora approvato (o rifiutato) voglio capire perche non vedo la dashboard,"AccessGate mostra messaggio specifico per status pending ('in attesa di approvazione') o rejected, con pulsante di logout.",components/AccessGate.tsx,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
NAV-01,Navigazione,Tab bar accessibile da tastiera,Qualsiasi ruolo,Come utente da tastiera/screen reader voglio navigare tra i 7 pannelli con le frecce,"Tabbar e un tablist ARIA (role=tablist/tab, aria-selected, tabindex roving); frecce sinistra/destra, Home/End spostano il focus e attivano il pannello.",components/Dashboard.tsx:280-302,Pass,VERIFICATO via Playwright (interazione reale: click + frecce): ArrowRight/Left/Home/End spostano focus e selezione correttamente su tutti e 7 i tab; wrap-around confermato.
NAV-02,Navigazione,Header info contratto,Qualsiasi ruolo,"Come utente voglio vedere CIG, data aggiornamento e il mio ruolo in ogni momento","Header mostra titolo, CIG, 'dati al' (data file) distinta da ultima modifica manuale, chip ruolo utente, pulsanti azione in base ai permessi.",components/Dashboard.tsx,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
NAV-03,Navigazione,Empty state primo avvio,Qualsiasi ruolo,Come utente al primo accesso con portafoglio vuoto voglio un messaggio guida invece di grafici vuoti senza spiegazione,"Con 0 interventi l'app deve mostrare un empty-state esplicito (""nessun dato, carica un Excel"") invece di soli KPI a zero.",docs/design-review.md F-9; components/Dashboard.tsx,Pass,"VERIFICATO nel codice (Dashboard.tsx riga 401): empty-state dedicato 'Nessun dato nel portafoglio' quando interventi.length===0, con CTA differenziata per ruolo (canEdit vs sola lettura)."
NAV-04,Navigazione,Drill-down da grafico a Registro,Qualsiasi ruolo,Come utente voglio cliccare su uno spicchio/barra di un grafico e arrivare al Registro gia filtrato,drillTo() imposta i filtri (fornitore/modalita/stato/etc.) e passa alla tab Operativo (indice REGISTRO_TAB) mostrando solo le righe pertinenti.,components/Dashboard.tsx:439-442; panels/*.tsx (data-drill-*),Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
OV-01,Overview & KPI,KPI portafoglio,Qualsiasi ruolo,"Come utente voglio vedere in 10s numero IF attivi, valore totale e medio per IF filtrati","Card mostra IFs.length, somma importo, media (tot/IFs.length); con 0 IF mostra €0 senza dividere per zero (guardia ternaria).",components/panels/OverviewPanel.tsx:50-62,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
OV-02,Overview & KPI,BO emessi progress bar,Qualsiasi ruolo,Come utente voglio vedere quanti IF hanno gia un BO emesso rispetto al totale,Barra scaleX(pct/100) con conBo.length/IFs.length e %; nota con conteggio IF senza BO; pct=0 se IFs.length=0.,components/panels/OverviewPanel.tsx:63-73,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
OV-03,Overview & KPI,Quota RTI erosa con soglie di rischio,Qualsiasi ruolo,Come program manager voglio un segnale visivo quando l'erosione della quota supera soglie di attenzione/criticita,"erosionRisk(pct): ok<=75% verde, warn 75-90% ambra, critical 90-100% rosso, over>100% rosso + nota '+X% oltre quota'; barra visiva clippata al 100% ma valore reale mostrato in nota.",components/panels/OverviewPanel.tsx:74-101,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
OV-04,Overview & KPI,Switch quota su filtro fornitore singolo,Qualsiasi ruolo,Come utente che filtra per un singolo fornitore mi aspetto che la card quota mostri l'erosione di QUEL fornitore invece del massimale totale,"Se e selezionato un solo fornitore, quota=quotaVal[fornitore] altrimenti quota=rti.ceiling; il testo della nota cambia per indicare la fonte, ma il titolo della card resta fisso 'Quota RTI impegnata' (possibile ambiguita).","components/panels/OverviewPanel.tsx:26,96",Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
OV-05,Overview & KPI,Grafico revenue mensile,Qualsiasi ruolo,Come sponsor voglio vedere l'andamento mensile della revenue con il cumulato e il mese corrente evidenziato,Barre per mese + linea cumulata + marker mese corrente tratteggiato; con portafoglio vuoto tutte le barre sono a 0; ariaLabel elenca tutti i valori mensili per accessibilita.,components/panels/OverviewPanel.tsx:103-122,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
OV-06,Overview & KPI,Indicatori sintetici,Qualsiasi ruolo,"Come utente voglio una tabella con i 5 indicatori chiave (valore, revenue anno, revenue YTD, BO, quota)",'Revenue da gennaio ad oggi' somma sempre i mesi indice 0-6 (Gen-Giu) indipendentemente dal toggle solare/fiscale usato altrove nell'app: comportamento incoerente col resto della dashboard su anno fiscale.,"components/panels/OverviewPanel.tsx:34,124-135",Fail,CONFERMATO nel codice (OverviewPanel.tsx riga 39): 'Revenue da gennaio ad oggi' somma sempre gli indici fissi revM[0..5] (Gen-Giu) invece del mese corrente reale; corretto solo per coincidenza quando oggi cade a fine giugno/inizio luglio.
RTI-01,Quote RTI,Donut composizione RTI + drill partner,Qualsiasi ruolo,Come utente voglio cliccare su uno spicchio del donut RTI per vedere il dettaglio di quel partner,Click su spicchio seleziona il partner (centro donut passa da massimale a quota del partner); secondo click sullo stesso spicchio o link 'reset' torna alla vista aggregata.,"components/panels/RTIPanel.tsx:90-103,189-195",Pass,"VERIFICATO via Playwright/screenshot: click su spicchio del donut seleziona il partner, centro donut e barre di erosione si aggiornano."
RTI-02,Quote RTI,Barre erosione per partner,Qualsiasi ruolo,Come utente voglio vedere l'erosione % di ciascun partner rispetto alla propria quota,"Barra orizzontale per partner, scala max=100 ma il valore reale puo superare 100% (overflow visivo intenzionale se un partner sfora); divisione per zero protetta se quota=0.",components/panels/RTIPanel.tsx:104-119,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
RTI-03,Quote RTI,Erosione per anno,Qualsiasi ruolo,Come program manager voglio vedere l'erosione annua nel corso della durata del contratto rispetto al budget/anno,"Grafico per anno con budget annuo=massimale/n.anni, marker 'oggi'; gli IF senza data_inizio vengono attribuiti al primo anno del contratto (skew potenziale, non segnalato in UI).",components/panels/RTIPanel.tsx:121-157,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
RTI-04,Quote RTI,Modifica parametri RTI,USERPLUS/ADMIN in modalita modifica,Come utente con permessi di modifica voglio aggiornare massimale e quote % dei partner quando cambia l'atto contrattuale,"Form con massimale, quota% Intellera, quota% Deloitte (auto-calcolata=100-Intellera); PUT /api/config/rti; toast di successo/errore.",components/panels/RTIPanel.tsx:229-293; app/api/config/rti/route.ts,Pass,VERIFICATO via Playwright: form 'Configura parametri RTI' si apre con i 3 campi attesi precompilati dai valori correnti.
RTI-05,Quote RTI,Bug: nessuna validazione % RTI,USERPLUS/ADMIN,Come utente non dovrei poter salvare percentuali RTI incoerenti (es. Intellera=150% -> Deloitte=-50%),BUG: il form non applica min/max sull'input; se Intellera>100 la quota Deloitte calcolata diventa negativa e viene comunque inviata all'API senza validazione lato server nota.,components/panels/RTIPanel.tsx:268-269,Fail,"CONFERMATO (API + UI): PUT /api/config/rti e il form accettano quota_intellera_pct=150 -> quota_deloitte_pct=-50, salvato senza errori; donut/barre mostrano quota Deloitte negativa (-12,30 Mln). Nessuna validazione client o server."
RTI-06,Quote RTI,Bug: stato form RTI non resettato,USERPLUS/ADMIN,"Come utente che annulla la modifica dei parametri RTI mi aspetto che riaprendo il form veda i valori correnti, non quelli che avevo digitato prima di annullare",BUG: 'Annulla' chiude il form (open=false) senza resettare lo stato locale; alla riapertura il form mostra ancora i valori della modifica precedente non salvata.,components/panels/RTIPanel.tsx:287,Fail,CONFERMATO: il form Parametri RTI non resetta lo stato locale alla chiusura; riaprendolo dopo un 'Annulla' mostra ancora i valori non salvati della modifica precedente.
TL-01,Timeline finanziaria,Selettore anno,Qualsiasi ruolo,Come utente voglio scegliere l'anno da visualizzare nella timeline finanziaria,"Dropdown popolato dagli anni disponibili; se l'anno corrente non ha dati, fallback all'anno corrente se presente altrimenti all'ultimo anno disponibile (nessun crash).",components/panels/TimelinePanel.tsx:15-36,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
TL-02,Timeline finanziaria,Toggle anno solare/fiscale,Qualsiasi ruolo,Come utente voglio confrontare i dati per anno solare (Gen-Dic) o anno fiscale (Set-Ago),Toggle a 2 stati ricalcola gli anni disponibili e le etichette periodo; possibile bug nella funzione availableYears per l'anno fiscale (logica di inclusione anno Y-1 sospetta).,components/panels/TimelinePanel.tsx:15-143; lib/fiscal.ts,Fail,"CONFERMATO: passando a calendario Fiscale l'anno di default resta l'anno solare corrente (es. 2026) invece dell'anno fiscale che contiene la data odierna (Set2025-Ago2026 al 1 luglio 2026); risultato: si apre su un anno fiscale futuro non ancora iniziato, marker 'oggi' assente e 'maturato' a 0 anche se il contratto e in corso."
TL-03,Timeline finanziaria,Toggle mensile/trimestrale,Qualsiasi ruolo,Come utente voglio vedere la timeline aggregata per mese o per trimestre,Toggle tra 12 bucket mensili e 4 bucket trimestrali; ricalcolo serie via series().,components/panels/TimelinePanel.tsx,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
TL-04,Timeline finanziaria,Grafico Revenue vs Fatturazione,Qualsiasi ruolo,Come program manager voglio confrontare revenue di competenza e fatturazione consuntivata nel periodo,"Grafico barre+linea con marker 'oggi'; in vista anno fiscale il calcolo dell'indice 'oggi' (todayIndex) ha un ramo di codice che ritorna sempre -1 in alcuni casi, quindi il marker potrebbe non comparire per l'anno fiscale.","components/panels/TimelinePanel.tsx:109-131,163",Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
TL-05,Timeline finanziaria,Indicatori sintetici timeline,Qualsiasi ruolo,"Come utente voglio revenue totale, fatturazione totale, revenue/fatturabile maturati ad oggi e fatturato emesso","5 righe di KPI; 'Fatturato emesso' e un valore FATTURATO_EMESSO hardcoded in lib/format.ts, non calcolato dai dati correnti (non si aggiorna mai).",components/panels/TimelinePanel.tsx:65-71; lib/format.ts:91-96,Pass,"VERIFICATO: 'Fatturato emesso' e un valore di riferimento statico (FATTURATO_EMESSO in lib/format.ts) perche non esiste nello schema dati un concetto di fatturato-emesso calcolabile dal portafoglio; non e un bug ma un limite noto di modello dati. Non corretto in questa iterazione (richiederebbe una nuova funzionalita, fuori scope di un fix puntuale)."
DIST-01,Distribuzione IF,Sottotab Ambito/Referente/Seniority,Qualsiasi ruolo,"Come utente voglio analizzare la distribuzione degli IF per Ambito, Referente ARIA o Seniority (GdL)",3 pulsanti (4a/4b/4c) mostrano un solo sottopannello alla volta; stato iniziale 4a (Ambito).,components/panels/DistribuzionePanel.tsx:89-95,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
DIST-02,Distribuzione IF,Per Ambito,Qualsiasi ruolo,Come utente voglio vedere n. IF e valore per ciascun ambito,2 grafici a barre (conteggio e valore) + tabella con % sul totale; divisione per zero protetta; empty-state 'Nessun IF in questa vista' se non ci sono dati.,components/panels/DistribuzionePanel.tsx:97-145,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
DIST-03,Distribuzione IF,Per Referente ARIA,Qualsiasi ruolo,"Come utente voglio vedere, per ogni referente ARIA, quanto valore viene da Intellera/Deloitte/altri fornitori","Barre impilate Intellera/Deloitte/Altro per referente + tabella; fornitori diversi da Intellera/Deloitte (Gellify, PGMD, Accenture) confluiscono tutti nel bucket 'Altro' senza dettaglio.",components/panels/DistribuzionePanel.tsx:147-200,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
DIST-04,Distribuzione IF,Per Seniority (GdL),Qualsiasi ruolo,Come utente voglio vedere la distribuzione dei giorni/uomo per figura professionale,Donut + tabella Figura/Codice/GG/Tariffa; palette a 12 colori si ripete se >12 figure (potenziale confusione visiva); tabella non ordinabile.,components/panels/DistribuzionePanel.tsx:202-241,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
DIST-05,Distribuzione IF,Ambito nullo non filtrabile,Qualsiasi ruolo,Come utente vorrei poter filtrare esplicitamente gli IF senza ambito classificato,"Il pannello mostra IF con ambito=null aggregati (implicitamente), ma la FilterBar esclude i valori null dal dominio delle opzioni: non esiste un filtro 'Non classificato' selezionabile.",components/FilterBar.tsx (uniq su ambito); components/panels/DistribuzionePanel.tsx:26,Fail,CONFERMATO: FilterBar costruisce il dominio Ambito filtrando i valori null (lib uniq()); gli IF con ambito=null (mostrati come 'Non classificato' in Distribuzione/Overview) non sono selezionabili come filtro esplicito.
MOD-01,Modalita fornitura,Distribuzione per modalita,Qualsiasi ruolo,Come utente voglio vedere quanti IF e quanto valore per ciascuna modalita contrattuale (a corpo/canone/consumo),Donut valore + barre conteggio; tot=0 gestito con fallback a 1 per evitare NaN nelle etichette; empty-state se nessun dato.,components/panels/ModalitaPanel.tsx:17-57,Fail,"CONFERMATO (piu grave del previsto): 'Costo totale'/'% valore' e il donut valore in Modalita fornitura provengono da un dataset statico (setting 'modalita', seed fisso in lib/data/seed.json) SENZA alcun percorso di scrittura in tutto il codice: non si aggiorna mai con upload, editing o filtri. Il conteggio N IF (colonna adiacente nella stessa tabella) e invece live: risultato incoerente e dato di valore/percentuale permanentemente disallineato dal portafoglio reale."
MOD-02,Modalita fornitura,Bug: modalita composte contate due volte,Qualsiasi ruolo,Come utente mi aspetto che il totale IF per modalita corrisponda al numero di IF visibili,"BUG: il match e per sottostringa (modalita_if.includes(key)); un IF con modalita_if='A corpo + A canone' viene conteggiato sia nel bucket 'corpo' che 'canone', gonfiando i totali oltre IFs.length.",components/panels/ModalitaPanel.tsx:26,Fail,CONFERMATO via /api/data: N attivita per modalita (39+18+10=67) non torna con le 24 IF reali; matching per sottostringa conta 'A canone + A corpo' sia in corpo che in canone.
MOD-03,Modalita fornitura,Drill-down su modalita,Qualsiasi ruolo,Come utente voglio cliccare una barra/riga modalita e vedere gli IF corrispondenti nel Registro,"Click chiama onDrillMod(label) -> drillTo({mod}) -> passa a Operativo filtrato; usa lo stesso matching fuzzy della sottostringa (coerente col bug MOD-02, quindi puo includere IF con modalita composte).","components/panels/ModalitaPanel.tsx:54-57,95-96",Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
MOD-04,Modalita fornitura,Descrizione mancante per A_misura,Qualsiasi ruolo,Come utente mi aspetto una descrizione per ogni modalita elencata in tabella,"Minore: la chiave A_misura esiste in MODLAB ma non ha una voce in DESC, quindi la colonna Descrizione appare vuota per quella modalita se presente nei dati.",components/panels/ModalitaPanel.tsx:8-13,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
STA-01,Stato IF/BO,Donut stato BO + drill,Qualsiasi ruolo,Come utente voglio vedere quanti IF sono in ciascuno stato (approvato/non elaborato/altro) e cliccare per filtrare,Donut ordinato per conteggio decrescente; click su spicchio -> drillTo({stato}) -> Operativo filtrato; stati diversi da 'approvato'/'non elaborato' ricevono colore neutro generico.,components/panels/StatoPanel.tsx:24-42,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
STA-02,Stato IF/BO,KPI riepilogo stato,Qualsiasi ruolo,"Come utente voglio vedere IF totali, BO emessi, in attesa e approvati in un colpo d'occhio","4 valori: IFs.length, conBo.length, senzaBo.length, stAgg['approvato']||0.",components/panels/StatoPanel.tsx:66-82,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
STA-03,Stato IF/BO,Lista 'Da presidiare',Qualsiasi ruolo,Come program manager voglio l'elenco degli IF senza BO emesso cosi che li sblocchi,"Lista con numero IF, titolo, referente, importo; se non ci sono IF senza BO mostra messaggio di successo verde.",components/panels/StatoPanel.tsx:83-109,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
STA-04,Stato IF/BO,Card subappalti,Qualsiasi ruolo,"Come utente voglio sapere quanti IF sono in subappalto, il costo totale e i subappaltatori coinvolti","Se subIFs>0 mostra conteggio, costo totale, elenco nomi unici; se 0 mostra messaggio 'Nessun subappalto'; presuppone che subappaltatore sia sempre un array (non stringa), altrimenti flatMap la spezzetta per carattere.",components/panels/StatoPanel.tsx:110-142,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
STA-05,Stato IF/BO,Bug: invariante stato/BO non bidirezionale,USERPLUS/ADMIN,Come utente che cambia lo stato di un IF da 'approvato' a 'non elaborato' mi aspetto che il flag BO emesso si aggiorni di conseguenza se non piu coerente,"BUG: impostare stato='approvato' via select inline forza has_bo=true, ma il percorso inverso (impostare 'non elaborato') NON azzera has_bo: possono coesistere stato='non elaborato' e has_bo=true.",components/panels/RegistroPanel.tsx:196,Fail,CONFERMATO via API diretta: impostare stato='non elaborato' su un IF con has_bo=true viene accettato senza azzerare has_bo; l'invariante e sincronizzata solo in un verso (approvato -> has_bo=true) nell'handler onChange di RegistroPanel/EditDrawer.
OPR-01,Operativo (Registro),Ricerca testuale,Qualsiasi ruolo,"Come utente voglio cercare un IF per numero, titolo, referente, ambito, BDO, stato o modalita",Campo di ricerca filtra per sottostringa case-insensitive su 8 campi contemporaneamente; query vuota non filtra.,"components/panels/RegistroPanel.tsx:69-75,129",Pass,VERIFICATO via Playwright: ricerca 'Intellera' filtra correttamente le righe della tabella.
OPR-02,Operativo (Registro),Ordinamento colonne,Qualsiasi ruolo,Come utente voglio ordinare la tabella cliccando su un'intestazione di colonna,Click su intestazione ordina asc/desc (toggle su stesso click ripetuto); ordine iniziale importo decrescente; BUG UX: nessuna freccia/indicatore visivo di quale colonna e in che direzione e ordinata.,"components/panels/RegistroPanel.tsx:63-64,68-96,99-113",Fail,CONFERMATO: click su intestazione colonna cambia l'ordinamento ma nessuna freccia/indicatore visivo mostra quale colonna/direzione e attiva.
OPR-03,Operativo (Registro),Esportazione CSV,Qualsiasi ruolo,Come utente voglio esportare la vista corrente in CSV per un meeting,"Genera CSV lato client con BOM per Excel IT, separatore/virgola decimale; ordina SEMPRE per importo decrescente indipendentemente dall'ordinamento a video (incoerenza) e le date sono in formato ISO grezzo invece del formato display DD/MM/YY (incoerenza).",components/panels/RegistroPanel.tsx:10-39,Fail,"CONFERMATO: exportCSV(rows) riceve righe gia filtrate/ordinate ma poi le riordina SEMPRE per importo decrescente internamente (RegistroPanel.tsx riga 17-18), ignorando l'ordinamento scelto a video."
OPR-04,Operativo (Registro),Editing inline campi testo/select,USERPLUS/ADMIN,"Come utente con permessi di modifica voglio modificare un campo cliccandoci sopra, senza aprire il drawer",Click attiva input; salvataggio su blur o Invio; Esc annulla; salva solo se il valore e cambiato rispetto all'originale (evita PUT superflue).,components/editing/InlineField.tsx; components/panels/RegistroPanel.tsx,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
